Generacion,Mejor_Fitness,Tiempo_Vuelta_Segundos,Mejor_Setup
1,3.6643717176398245,96.495,"{'aleron_delantero': 23, 'aleron_trasero': 30, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.47, 'altura_chasis': 12}"
2,3.684968969209087,96.254,"{'aleron_delantero': 23, 'aleron_trasero': 30, 'barra_estabilizadora': 8, 'camber_frontal': -3.48, 'toe_frontal': 0.18, 'altura_chasis': 25}"
3,3.684968969209087,96.254,"{'aleron_delantero': 23, 'aleron_trasero': 30, 'barra_estabilizadora': 8, 'camber_frontal': -3.48, 'toe_frontal': 0.18, 'altura_chasis': 25}"
4,3.702815580604292,95.115,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.48, 'toe_frontal': 0.04, 'altura_chasis': 23}"
5,3.702815580604292,95.115,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.48, 'toe_frontal': 0.04, 'altura_chasis': 23}"
6,3.702815580604292,95.115,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.48, 'toe_frontal': 0.04, 'altura_chasis': 23}"
7,3.702815580604292,95.115,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.48, 'toe_frontal': 0.04, 'altura_chasis': 23}"
8,3.702815580604292,95.115,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.48, 'toe_frontal': 0.04, 'altura_chasis': 23}"
9,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
10,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
11,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
12,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
13,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
14,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
15,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
16,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
17,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
18,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
19,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
20,3.7050895760445277,95.09,"{'aleron_delantero': 23, 'aleron_trasero': 24, 'barra_estabilizadora': 12, 'camber_frontal': -3.48, 'toe_frontal': 0.01, 'altura_chasis': 12}"
21,3.7072152913359773,95.084,"{'aleron_delantero': 27, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.5, 'toe_frontal': 0.01, 'altura_chasis': 28}"
22,3.7072152913359773,95.084,"{'aleron_delantero': 27, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.5, 'toe_frontal': 0.01, 'altura_chasis': 28}"
23,3.7072152913359773,95.084,"{'aleron_delantero': 27, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.5, 'toe_frontal': 0.01, 'altura_chasis': 28}"
24,3.7072152913359773,95.084,"{'aleron_delantero': 27, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.5, 'toe_frontal': 0.01, 'altura_chasis': 28}"
25,3.7072152913359773,95.084,"{'aleron_delantero': 27, 'aleron_trasero': 24, 'barra_estabilizadora': 8, 'camber_frontal': -3.5, 'toe_frontal': 0.01, 'altura_chasis': 28}"
