ID_Coche,Categoria,Potencia_W,Area_Frontal_m2,Peso_N,Gravedad_m_s2,Cd_Base,Cl_Base,V_Ref_Curva_m_s
1,F1_Generico,745700.0,1.5,7848.0,9.81,0.8,1.5,50.0
2,F2_Generico,462000.0,1.5,7400.0,9.81,0.7,1.2,45.0
